prob,pnl,target,symbol,signal_date,month,seed,config
0.0665653869509697,-12.1643,0,NGLFINE,2022-04-04,2022-04,42,incumbent config: all data
0.8200778961181641,-12.1509,0,PARAS,2022-04-07,2022-04,42,incumbent config: all data
0.8065464496612549,29.1153,1,SANGHVIMOV,2022-06-02,2022-06,42,incumbent config: all data
0.6390742659568787,-18.3553,0,ASIANENE,2022-06-08,2022-06,42,incumbent config: all data
0.15526770055294037,27.6806,1,EMUDHRA,2022-07-11,2022-07,42,incumbent config: all data
0.2668609321117401,-12.4994,0,DEEPINDS,2022-07-21,2022-07,42,incumbent config: all data
0.9224072098731995,-9.9644,0,SANGHVIMOV,2022-08-16,2022-08,42,incumbent config: all data
0.2977600693702698,96.4219,1,SERVOTECH,2022-08-24,2022-08,42,incumbent config: all data
0.28430551290512085,-11.5883,0,EMUDHRA,2022-11-01,2022-11,42,incumbent config: all data
0.40119704604148865,-13.9203,0,HARIOMPIPE,2022-11-10,2022-11,42,incumbent config: all data
0.2313564121723175,31.0845,1,SANGHVIMOV,2022-11-10,2022-11,42,incumbent config: all data
0.20909687876701355,-4.7125,0,HARIOMPIPE,2022-11-25,2022-11,42,incumbent config: all data
0.24924004077911377,-11.0252,0,EMUDHRA,2022-12-27,2022-12,42,incumbent config: all data
0.23998874425888062,-11.2699,0,SANGHVIMOV,2023-02-10,2023-02,42,incumbent config: all data
0.7520061731338501,-7.7039,0,AVL,2023-03-01,2023-03,42,incumbent config: all data
0.029551737010478973,46.0066,1,HARIOMPIPE,2023-03-03,2023-03,42,incumbent config: all data
0.48263487219810486,29.9536,1,DEEPINDS,2023-04-03,2023-04,42,incumbent config: all data
0.4831981658935547,-12.8991,0,AVL,2023-04-06,2023-04,42,incumbent config: all data
0.19312269985675812,-2.6613,0,PARAS,2023-04-11,2023-04,42,incumbent config: all data
0.15179811418056488,27.2727,1,WINDLAS,2023-05-08,2023-05,42,incumbent config: all data
0.37047305703163147,57.974,1,DEEPINDS,2023-05-24,2023-05,42,incumbent config: all data
0.4905833899974823,50.0233,1,SANGHVIMOV,2023-05-31,2023-05,42,incumbent config: all data
0.21242433786392212,8.7638,0,WINDLAS,2023-06-02,2023-06,42,incumbent config: all data
0.05263809487223625,45.3791,1,DEEPINDS,2023-07-07,2023-07,42,incumbent config: all data
0.9228454828262329,-14.7491,0,NGLFINE,2023-08-07,2023-08,42,incumbent config: all data
0.4174235165119171,-2.4098,0,WINDLAS,2023-08-09,2023-08,42,incumbent config: all data
0.8506357073783875,4.6722,0,HARIOMPIPE,2023-08-24,2023-08,42,incumbent config: all data
0.5007844567298889,-11.2918,0,DEEPINDS,2023-10-03,2023-10,42,incumbent config: all data
0.47521793842315674,-0.9254,0,SANGHVIMOV,2023-10-31,2023-10,42,incumbent config: all data
0.326668381690979,-8.3643,0,HARIOMPIPE,2023-11-07,2023-11,42,incumbent config: all data
0.4983503520488739,-4.7316,0,NGLFINE,2023-11-13,2023-11,42,incumbent config: all data
0.29865509271621704,-8.6093,0,PARAS,2023-12-14,2023-12,42,incumbent config: all data
0.2773515284061432,-13.9528,0,SANGHVIMOV,2023-12-21,2023-12,42,incumbent config: all data
0.267354816198349,-10.3648,0,PARAS,2024-01-04,2024-01,42,incumbent config: all data
0.2895919680595398,5.6558,0,SERVOTECH,2024-01-08,2024-01,42,incumbent config: all data
0.06738021224737167,51.254,1,EMUDHRA,2024-01-12,2024-01,42,incumbent config: all data
0.3311733603477478,-14.3407,0,AVL,2024-01-25,2024-01,42,incumbent config: all data
0.7134228944778442,-7.0863,0,WINDLAS,2024-02-08,2024-02,42,incumbent config: all data
0.697259783744812,-7.3288,0,DEEPINDS,2024-03-22,2024-03,42,incumbent config: all data
0.0803576111793518,-4.0873,0,NGLFINE,2024-04-05,2024-04,42,incumbent config: all data
0.6419745087623596,-24.1822,0,SANGHVIMOV,2024-05-15,2024-05,42,incumbent config: all data
0.5338413715362549,-7.6376,0,EMUDHRA,2024-06-11,2024-06,42,incumbent config: all data
0.9031720757484436,67.6136,1,SERVOTECH,2024-06-13,2024-06,42,incumbent config: all data
0.8210445642471313,4.7722,0,RPTECH,2024-07-03,2024-07,42,incumbent config: all data
0.668975830078125,40.2097,1,DEEPINDS,2024-07-08,2024-07,42,incumbent config: all data
0.6982030868530273,15.2713,0,HARIOMPIPE,2024-07-11,2024-07,42,incumbent config: all data
0.4758080244064331,-9.7118,0,NGLFINE,2024-07-12,2024-07,42,incumbent config: all data
0.6344332695007324,-5.9848,0,WINDLAS,2024-07-29,2024-07,42,incumbent config: all data
0.5893615484237671,-10.1874,0,JINDRILL,2024-07-30,2024-07,42,incumbent config: all data
0.5984817743301392,-12.5378,0,SANGHVIMOV,2024-07-31,2024-07,42,incumbent config: all data
0.5579680800437927,2.2779,0,EMUDHRA,2024-09-10,2024-09,42,incumbent config: all data
0.4024007320404053,-9.5771,0,JINDRILL,2024-10-18,2024-10,42,incumbent config: all data
0.29219934344291687,8.3356,0,JINDRILL,2024-10-30,2024-10,42,incumbent config: all data
0.4968612492084503,-8.7993,0,MPSLTD,2024-12-04,2024-12,42,incumbent config: all data
0.3560998737812042,-10.2699,0,ANANDRATHI,2024-12-05,2024-12,42,incumbent config: all data
0.4603224992752075,-11.8393,0,MPSLTD,2024-12-05,2024-12,42,incumbent config: all data
0.15437224507331848,3.1306,0,LUMAXTECH,2024-12-06,2024-12,42,incumbent config: all data
0.45018577575683594,-9.8903,0,SIKA,2024-12-09,2024-12,42,incumbent config: all data
0.3854387700557709,-12.4213,0,ANANDRATHI,2024-12-09,2024-12,42,incumbent config: all data
0.9017242193222046,-13.4868,0,WEALTH,2024-12-11,2024-12,42,incumbent config: all data
0.4083091616630554,-8.7038,0,ASIANENE,2024-12-11,2024-12,42,incumbent config: all data
0.09951919317245483,19.3196,0,SIGMAADV,2024-12-16,2024-12,42,incumbent config: all data
0.769547164440155,-11.6549,0,DOMS,2024-12-17,2024-12,42,incumbent config: all data
0.0833413377404213,40.8092,1,INDOTHAI,2024-12-30,2024-12,42,incumbent config: all data
0.41337621212005615,-12.8747,0,MONARCH,2025-01-02,2025-01,42,incumbent config: all data
0.2247503697872162,-19.4236,0,ALLDIGI,2025-01-07,2025-01,42,incumbent config: all data
0.33916589617729187,-12.7505,0,VIJAYA,2025-01-07,2025-01,42,incumbent config: all data
0.47319671511650085,-20.0925,0,KRISHANA,2025-01-15,2025-01,42,incumbent config: all data
0.3478178083896637,9.1758,0,MPSLTD,2025-01-23,2025-01,42,incumbent config: all data
0.27035149931907654,-16.3955,0,KMCSHIL,2025-02-03,2025-02,42,incumbent config: all data
0.19205278158187866,-25.6148,0,NGLFINE,2025-02-05,2025-02,42,incumbent config: all data
0.02656392566859722,-32.5535,0,NGLFINE,2025-02-06,2025-02,42,incumbent config: all data
0.042547572404146194,-19.1416,0,ANTELOPUS,2025-03-19,2025-03,42,incumbent config: all data
0.7506456971168518,-6.0409,0,SEAMECLTD,2025-03-25,2025-03,42,incumbent config: all data
0.1883181929588318,-8.7649,0,PRIVISCL,2025-03-27,2025-03,42,incumbent config: all data
0.0711236447095871,-12.0067,0,DPABHUSHAN,2025-04-02,2025-04,42,incumbent config: all data
0.10376071184873581,-17.1262,0,SRM,2025-04-15,2025-04,42,incumbent config: all data
0.07009866088628769,15.9534,0,THYROCARE,2025-04-22,2025-04,42,incumbent config: all data
0.09399554133415222,-12.2185,0,FRONTSP,2025-04-22,2025-04,42,incumbent config: all data
0.2524334192276001,30.456,1,NDRAUTO,2025-05-09,2025-05,42,incumbent config: all data
0.0325496681034565,10.6617,0,RAILTEL,2025-05-14,2025-05,42,incumbent config: all data
0.016385670751333237,-4.8985,0,KOVAI,2025-05-14,2025-05,42,incumbent config: all data
0.13270460069179535,3.4607,0,SPARC,2025-05-16,2025-05,42,incumbent config: all data
0.03823736310005188,-7.5102,0,KHAZANCHI,2025-05-20,2025-05,42,incumbent config: all data
0.021716410294175148,-15.0507,0,DISAQ,2025-05-21,2025-05,42,incumbent config: all data
0.6704006195068359,-9.1799,0,KOVAI,2025-05-30,2025-05,42,incumbent config: all data
0.01428723894059658,-12.9458,0,HARIOMPIPE,2025-06-05,2025-06,42,incumbent config: all data
0.06147298961877823,1.8843,0,ANTELOPUS,2025-06-06,2025-06,42,incumbent config: all data
0.0978415310382843,-12.4686,0,SURAKSHA,2025-06-25,2025-06,42,incumbent config: all data
0.09370800852775574,23.6111,0,SENORES,2025-06-25,2025-06,42,incumbent config: all data
0.42531177401542664,-5.8054,0,MPSLTD,2025-06-25,2025-06,42,incumbent config: all data
0.015785101801156998,-1.2456,0,VIJAYA,2025-06-26,2025-06,42,incumbent config: all data
0.0721704363822937,-0.6615,0,SIGNPOST,2025-06-30,2025-06,42,incumbent config: all data
0.24384291470050812,61.2719,1,523229,2025-07-01,2025-07,42,incumbent config: all data
0.04055243358016014,0.5596,0,NGLFINE,2025-07-01,2025-07,42,incumbent config: all data
0.2268572896718979,-9.377,0,SANDUMA,2025-07-03,2025-07,42,incumbent config: all data
0.7732168436050415,-8.4391,0,ARKADE,2025-07-07,2025-07,42,incumbent config: all data
0.07079672068357468,-1.8892,0,KHAZANCHI,2025-07-08,2025-07,42,incumbent config: all data
0.06689733266830444,-0.5104,0,ALLDIGI,2025-07-08,2025-07,42,incumbent config: all data
0.5179800391197205,1.5755,0,DPABHUSHAN,2025-07-09,2025-07,42,incumbent config: all data
0.6928009986877441,23.1663,0,OLECTRA,2025-07-10,2025-07,42,incumbent config: all data
0.17637862265110016,30.2215,1,GARUDA,2025-07-10,2025-07,42,incumbent config: all data
0.6746209263801575,-4.1777,0,MCLOUD,2025-07-15,2025-07,42,incumbent config: all data
0.15382064878940582,-7.3232,0,DISAQ,2025-07-15,2025-07,42,incumbent config: all data
0.49602580070495605,-10.658,0,SENCO,2025-07-17,2025-07,42,incumbent config: all data
0.1704404056072235,13.2531,0,ASIANENE,2025-07-17,2025-07,42,incumbent config: all data
0.1999940127134323,-11.1523,0,PNGJL,2025-07-17,2025-07,42,incumbent config: all data
0.12066750228404999,-13.2931,0,530475,2025-07-17,2025-07,42,incumbent config: all data
0.14868290722370148,-6.1044,0,DPABHUSHAN,2025-07-18,2025-07,42,incumbent config: all data
0.15208113193511963,-9.6791,0,RPTECH,2025-07-18,2025-07,42,incumbent config: all data
0.15356437861919403,-9.5477,0,GPTINFRA,2025-07-21,2025-07,42,incumbent config: all data
0.053683456033468246,14.0667,0,OLECTRA,2025-07-23,2025-07,42,incumbent config: all data
0.2871505320072174,-6.202,0,WINDLAS,2025-07-24,2025-07,42,incumbent config: all data
0.33633220195770264,8.8292,0,ASIANENE,2025-07-28,2025-07,42,incumbent config: all data
0.04080444946885109,-12.5181,0,VIJAYA,2025-07-28,2025-07,42,incumbent config: all data
0.25878578424453735,89.2737,1,523229,2025-07-30,2025-07,42,incumbent config: all data
0.034993477165699005,-3.521,0,DEEPINDS,2025-08-04,2025-08,42,incumbent config: all data
0.06463263183832169,-10.5733,0,BLS,2025-08-05,2025-08,42,incumbent config: all data
0.07512421905994415,-3.3384,0,DOMS,2025-08-11,2025-08,42,incumbent config: all data
0.06414638459682465,-4.8705,0,KMCSHIL,2025-08-13,2025-08,42,incumbent config: all data
0.028494028374552727,-13.5156,0,WINDLAS,2025-08-13,2025-08,42,incumbent config: all data
0.013243923895061016,9.8345,0,JSLL,2025-08-14,2025-08,42,incumbent config: all data
0.03456495329737663,8.6756,0,GOKULAGRO,2025-08-20,2025-08,42,incumbent config: all data
0.07617893815040588,3.1325,0,NEPHROCARE,2025-08-21,2025-08,42,incumbent config: all data
0.11333109438419342,-11.9328,0,KPGEL,2025-08-21,2025-08,42,incumbent config: all data
0.03321244195103645,-6.9368,0,BALUFORGE,2025-09-02,2025-09,42,incumbent config: all data
0.007271993905305862,-16.4704,0,ASIANENE,2025-09-03,2025-09,42,incumbent config: all data
0.007792066317051649,-10.0248,0,DOMS,2025-09-04,2025-09,42,incumbent config: all data
0.030563995242118835,9.4127,0,RPTECH,2025-09-04,2025-09,42,incumbent config: all data
0.014538605697453022,56.2637,1,RPEL,2025-09-05,2025-09,42,incumbent config: all data
0.0372188426554203,-11.1474,0,ACGL,2025-09-05,2025-09,42,incumbent config: all data
0.007160290144383907,-13.3211,0,NDRAUTO,2025-09-05,2025-09,42,incumbent config: all data
0.060311999171972275,-13.828,0,GPTINFRA,2025-09-10,2025-09,42,incumbent config: all data
0.017130371183156967,-4.2429,0,SANGHVIMOV,2025-09-11,2025-09,42,incumbent config: all data
0.1108912006020546,-10.8615,0,WAAREERTL,2025-09-11,2025-09,42,incumbent config: all data
0.04647255688905716,-9.6152,0,SYNCOMF,2025-09-11,2025-09,42,incumbent config: all data
0.014679474756121635,23.9485,0,SANDUMA,2025-09-15,2025-09,42,incumbent config: all data
0.047358740121126175,-11.3564,0,HARIOMPIPE,2025-09-15,2025-09,42,incumbent config: all data
0.03369593620300293,-9.2075,0,RAILTEL,2025-09-15,2025-09,42,incumbent config: all data
0.16599510610103607,-2.3468,0,PNGJL,2025-09-16,2025-09,42,incumbent config: all data
0.20697039365768433,6.4137,0,SRM,2025-09-16,2025-09,42,incumbent config: all data
0.18831214308738708,-10.1678,0,ANTELOPUS,2025-09-17,2025-09,42,incumbent config: all data
0.03989249840378761,-7.7173,0,NEWGEN,2025-09-18,2025-09,42,incumbent config: all data
0.08700171113014221,-6.4324,0,KOVAI,2025-09-18,2025-09,42,incumbent config: all data
