bbw_width_pct,days_in_squeeze,volume_multiple,close_high_ratio,rsi_absolute,rsi_delta,atr_pct,distance_from_50sma,nifty_trend,nifty_distance_from_50sma,relative_strength_125,prior_runup_90,symbol,signal_date,target,trade_pnl
5.1171,25,3.866,0.4784,63.2455,9.9594,3.2117,0.0456,1,0.0042,1.0704,5.3271,AARTIIND,2017-10-11,0,-4.6324
3.4656,9,3.2026,0.8892,62.2481,8.8671,2.2684,0.051,0,-0.0167,1.3302,26.0319,AARTIIND,2018-03-13,0,-7.1356
8.0565,4,2.7909,0.8286,66.518,8.042,2.4995,0.0792,0,-0.0115,1.3283,22.1832,AARTIIND,2019-01-30,0,-2.9443
4.6663,17,2.7794,0.4708,59.0799,8.606,2.4639,0.0451,1,0.0311,1.0528,12.1557,AARTIIND,2019-05-20,0,2.4188
7.4994,5,1.6831,0.9474,56.1602,15.0646,2.3468,0.0051,1,0.0144,1.1903,5.9001,AARTIIND,2019-09-20,0,-7.7737
6.7926,16,2.7623,0.8788,68.0975,13.6784,2.6832,0.0502,1,0.0465,0.7903,16.3786,AARTIIND,2020-11-05,0,4.7013
7.5514,25,1.735,0.8541,69.397,9.9626,2.2098,0.0759,1,0.0042,1.4646,50.6831,AARTIIND,2021-07-30,0,-6.3293
8.5792,19,2.7909,0.9112,66.6774,10.6775,2.638,0.0683,1,0.0345,0.7841,-8.0099,AARTIIND,2022-07-21,0,-0.5626
3.5346,14,2.8723,0.8324,60.9475,9.6729,1.8228,0.0109,1,0.0318,0.8332,-0.3382,AARTIIND,2023-06-21,0,-6.6272
5.8022,22,2.9605,0.8829,60.8328,15.5305,2.3204,0.0162,0,-0.0028,0.8394,-11.2528,AARTIIND,2023-08-29,0,-2.0789
11.2514,0,9.0221,0.9044,65.1316,21.8724,2.7682,0.0486,0,-0.0076,0.8674,0.7021,AARTIIND,2023-11-06,0,13.5
2.6759,42,1.5542,0.7861,56.1662,8.6868,1.9215,0.0097,1,0.0372,0.8578,-11.5504,AARTIIND,2025-10-29,0,-4.8346
3.2707,45,1.9862,0.6985,57.7865,8.3924,1.9573,0.0178,1,0.0236,0.8471,-14.2039,AARTIIND,2025-11-03,0,-5.3604
14.2345,0,3.144,0.8434,66.1633,10.2703,3.1777,0.0,1,0.009,1.0,0.0,AAVAS,2018-11-28,0,-1.1952
5.551,35,3.8629,0.8724,69.019,15.8589,2.7886,0.0514,1,0.0555,1.2368,25.7939,AAVAS,2021-06-04,0,5.5788
8.0375,4,3.2007,0.7594,69.692,11.8651,4.8967,0.1489,1,0.0084,1.1395,28.9934,AAVAS,2022-02-01,0,-15.6823
