bbw_width_pct,days_in_squeeze,volume_multiple,close_high_ratio,rsi_absolute,rsi_delta,atr_pct,distance_from_50sma,nifty_trend,nifty_distance_from_50sma,relative_strength_125,prior_runup_90,symbol,signal_date,target,trade_pnl,source_batch
8.7157,6,7.3521,0.701,66.9862,20.1964,3.7437,0.0,1,0.004,1.0,0.0,SIKA,2024-12-09,0,-9.8903,Batch 1
11.0585,2,5.4242,0.8033,69.7923,13.102,3.6976,0.096,1,0.0129,2.3256,61.008,SIKA,2025-09-22,0,-16.2273,Batch 1
9.6745,7,3.0668,0.6966,63.9482,9.7201,3.7377,0.0168,1,0.0081,0.7106,-12.2238,SIKA,2026-01-06,0,-13.8919,Batch 1
9.0635,18,2.8511,0.8142,66.8423,9.5623,3.5174,0.132,1,0.066,0.7497,-19.5927,SPARC,2025-05-16,0,3.4607,Batch 1
6.7802,7,12.6148,0.7356,64.3737,16.1528,3.0464,0.0293,1,0.0337,0.899,-9.5919,SPARC,2025-10-28,0,-5.4648,Batch 1
13.0298,12,11.5894,0.7344,69.4614,20.0432,5.0318,0.1477,1,0.016,1.0,10.2148,SRM,2025-04-15,0,-17.1262,Batch 1
9.1038,21,14.025,0.4967,60.2097,11.4926,4.9434,0.0603,1,0.0139,1.4205,67.8095,SRM,2025-09-16,0,6.4137,Batch 1
17.3246,0,2.3338,0.8548,69.7362,9.3778,5.0504,0.1425,0,-0.0183,0.9199,-18.1339,SRM,2026-04-10,0,1.7933,Batch 1
10.5983,25,4.7168,0.657,68.3218,12.8745,4.1212,0.1036,1,0.0507,1.0,-20.3267,THYROCARE,2025-04-22,0,15.9534,Batch 1
9.578,2,1.7739,0.6293,58.8722,9.7788,2.879,-0.0083,1,0.0272,0.7682,-14.8346,TIPSMUSIC,2025-11-26,0,-4.4849,Batch 1
6.7049,22,15.1941,0.3813,55.319,10.6863,4.0049,0.028,0,-0.0279,0.8586,-8.9773,TIPSMUSIC,2026-01-20,0,-4.2986,Batch 1
9.406,5,4.9438,0.866,60.3247,13.8776,4.4791,0.0454,1,0.0082,1.6881,43.4036,VMARCIND,2025-10-08,1,29.9887,Batch 1
7.6753,16,8.5006,0.6685,67.7816,11.6113,3.0722,0.0773,1,0.0038,1.0,18.6374,WAAREERTL,2025-09-11,0,-10.8615,Batch 1
7.1243,10,5.5759,0.85,56.151,11.7688,3.0371,-0.0218,0,-0.0088,1.0051,-1.963,WAAREERTL,2026-01-13,0,-12.8862,Batch 1
9.9775,8,3.664,1.0,62.9518,9.2903,4.164,0.0,1,0.0075,1.0,0.0,WEALTH,2024-12-11,0,-13.4868,Batch 1
12.0271,3,3.8936,0.8745,65.7743,15.7786,5.2045,0.0502,1,0.0056,0.7116,-19.1429,WEALTH,2026-02-10,0,-9.7921,Batch 1
7.2918,6,3.0836,0.3412,58.5904,8.4938,4.7139,0.0969,0,-0.0089,1.8433,40.42,ACGL,2025-09-05,0,-11.1474,Batch 2
7.3861,32,8.3561,0.588,60.9027,10.9766,3.6771,0.0437,1,0.0108,1.5861,17.2071,ACGL,2025-10-14,0,-13.3378,Batch 2
3.5869,36,1.6963,0.1357,56.7311,12.7496,2.6606,0.0033,1,0.0352,1.3642,-9.5652,ADVAIT,2025-10-23,0,-6.5535,Batch 2
6.4687,15,1.9733,0.8743,60.3437,12.3494,3.7705,0.0,0,-0.0163,1.0,0.0,ALLDIGI,2025-01-07,0,-19.4236,Batch 2
3.6104,93,3.5215,0.4907,64.6025,10.9479,2.2904,0.0232,1,0.0252,0.9009,0.9052,ALLDIGI,2025-07-08,0,-0.5104,Batch 2
11.1717,95,7.0026,0.7515,68.0132,9.8136,3.4745,0.0863,0,-0.0181,0.9129,-3.5653,ALLDIGI,2026-01-29,0,-7.7829,Batch 2
10.8674,8,6.8514,0.7166,68.5532,9.1048,3.2871,0.1143,1,0.007,1.1569,28.5174,ASKAUTOLTD,2025-09-24,0,-10.2239,Batch 2
11.1497,1,3.0014,0.8881,60.9179,10.8742,3.9377,0.0339,0,-0.0641,0.8957,-5.1266,ASKAUTOLTD,2026-03-25,0,-4.0191,Batch 2
4.4163,12,1.7684,0.7932,63.8999,10.2145,2.7856,0.0831,0,-0.0025,1.0,-4.5742,ASKAUTOLTD,2026-05-04,0,-9.2321,Batch 2
7.1266,24,4.3137,0.8499,66.1258,8.8493,2.9962,0.0541,0,-0.0157,0.8702,-1.1993,BLS,2025-08-05,0,-10.5733,Batch 2
8.2242,15,9.4929,0.784,64.5709,15.5562,3.8915,0.0607,1,0.0129,1.0947,12.5874,BORORENEW,2025-09-22,0,-1.8823,Batch 2
12.0679,0,1.6098,0.8653,64.5937,8.8164,4.5028,0.1,1,0.0171,1.2326,18.5523,BORORENEW,2025-10-10,0,-6.4036,Batch 2
